38506-0001-Data
FIPS,YEAR,REG_VOTERS (use 2020 ONLY),"REG_VOTER_TURNOUT_PCT (Average 12, 16, 20 result for EACH county)",,,,,,,,,,,,,,
1133,2012,16626,0.589859247208,,,,,,,,,,,,,,
1133,2016,16691,0.622071802616,,,,,,,,,,,,,,
1133,2020,17155,0.659457862377,,,,,,,,,,,,,,
4001,2012,50864,0.515610277653,,,,,,,,,,,,,,
4001,2016,53020,0.537382125854,,,,,,,,,,,,,,
4001,2020,55792,0.641238868237,,,,,,,,,,,,,,
4003,2012,82802,0.598463833332,,,,,,,,,,,,,,
4003,2016,75256,0.672384917736,,,,,,,,,,,,,,
4003,2020,94283,0.64659589529,,,,,,,,,,,,,,
4005,2012,84581,0.617668271065,,,,,,,,,,,,,,
4005,2016,94277,0.644314110279,,,,,,,,,,,,,,
4005,2020,104736,0.706232786179,,,,,,,,,,,,,,
4007,2012,34462,0.633248209953,,,,,,,,,,,,,,
4007,2016,35793,0.656077980995,,,,,,,,,,,,,,
4007,2020,37806,0.742130875587,,,,,,,,,,,,,,
4009,2012,20537,0.583873033524,,,,,,,,,,,,,,
4009,2016,21028,0.596109926701,,,,,,,,,,,,,,
4009,2020,22659,0.666975617409,,,,,,,,,,,,,,
4011,2012,4877,0.622308790684,,,,,,,,,,,,,,
4011,2016,5140,0.656809329987,,,,,,,,,,,,,,
4011,2020,5321,0.699680507183,,,,,,,,,,,,,,
4012,2012,10628,0.546481013298,,,,,,,,,,,,,,
4012,2016,11727,0.523748636246,,,,,,,,,,,,,,
4012,2020,13553,0.55500626564,,,,,,,,,,,,,,
4013,2012,2191522,0.634643852711,,,,,,,,,,,,,,
4013,2016,2438481,0,,,,,,,,,,,,,,
4013,2020,2863040,0.729840636253,,,,,,,,,,,,,,
4015,2012,132459,0.537547469139,,,,,,,,,,,,,,
4015,2016,142180,0.574813604355,,,,,,,,,,,,,,
4015,2020,155904,0.676313638687,,,,,,,,,,,,,,
4017,2012,67353,0.561281621456,,,,,,,,,,,,,,
4017,2016,69670,0.607506811619,,,,,,,,,,,,,,
4017,2020,81425,0.644642293453,,,,,,,,,,,,,,
4019,2012,595709,0.647505760193,,,,,,,,,,,,,,
4019,2016,616901,0.692334771156,,,,,,,,,,,,,,
4019,2020,689973,0.762658834457,,,,,,,,,,,,,,
4021,2012,189842,0.576637387276,,,,,,,,,,,,,,
4021,2016,227343,0.578984200954,,,,,,,,,,,,,,
4021,2020,263199,0.707981407642,,,,,,,,,,,,,,
4023,2012,25569,0.550353944302,,,,,,,,,,,,,,
4023,2016,28708,0.597603440285,,,,,,,,,,,,,,
4023,2020,30935,0.640277981758,,,,,,,,,,,,,,
4025,2012,144971,0.698539733887,,,,,,,,,,,,,,
4025,2016,155684,0.745439469814,,,,,,,,,,,,,,
4025,2020,181031,0.800476133823,,,,,,,,,,,,,,
4027,2012,89186,0.476767659187,,,,,,,,,,,,,,
4027,2016,105472,0.676340639591,,,,,,,,,,,,,,
4027,2020,128452,0.549574911594,,,,,,,,,,,,,,
5001,2012,9374,0.703435003757,,,,,,,,,,,,,,
5001,2016,10385,0.601348102093,,,,,,,,,,,,,,
5001,2020,10300,0.613009691238,,,,,,,,,,,,,,
5003,2012,10812,0.736866474152,,,,,,,,,,,,,,
5003,2016,12578,0.597233235836,,,,,,,,,,,,,,
5003,2020,11384,0.69887560606,,,,,,,,,,,,,,
5005,2012,27614,0.708010435104,,,,,,,,,,,,,,
5005,2016,28875,0.690008640289,,,,,,,,,,,,,,
5005,2020,30115,0.702507078648,,,,,,,,,,,,,,
5007,2012,113298,0.70391356945,,,,,,,,,,,,,,
5007,2016,143035,0.684818387032,,,,,,,,,,,,,,
5007,2020,170807,0.705146729946,,,,,,,,,,,,,,
5009,2012,21001,0.744297862053,,,,,,,,,,,,,,
5009,2016,24402,0.6618719697,,,,,,,,,,,,,,
5009,2020,25032,0.685402691364,,,,,,,,,,,,,,
5011,2012,5166,0.71273714304,,,,,,,,,,,,,,
5011,2016,5476,0.672571241856,,,,,,,,,,,,,,
5011,2020,5328,0.685810804367,,,,,,,,,,,,,,
5013,2012,3612,0.606866002083,,,,,,,,,,,,,,
5013,2016,3422,0,,,,,,,,,,,,,,
5013,2020,3473,0.602936923504,,,,,,,,,,,,,,
5015,2012,13735,0.751801967621,,,,,,,,,,,,,,
5015,2016,15806,0.688725829124,,,,,,,,,,,,,,
5015,2020,16958,0.704564213753,,,,,,,,,,,,,,
5017,2012,6730,0.661366999149,,,,,,,,,,,,,,
5017,2016,6436,0.672622740269,,,,,,,,,,,,,,
5017,2020,6259,0.659050941467,,,,,,,,,,,,,,
5019,2012,11559,0.736828446388,,,,,,,,,,,,,,
5019,2016,12392,0.693431258202,,,,,,,,,,,,,,
5019,2020,12302,0.685335695744,,,,,,,,,,,,,,
5021,2012,9200,0.565978288651,,,,,,,,,,,,,,
5021,2016,8350,0.636047899723,,,,,,,,,,,,,,
5021,2020,8028,0.648480296135,,,,,,,,,,,,,,
5023,2012,16904,0.695811629295,,,,,,,,,,,,,,
5023,2016,18122,0.673104524612,,,,,,,,,,,,,,
5023,2020,18023,0.706042289734,,,,,,,,,,,,,,
5025,2012,4693,0.704879581928,,,,,,,,,,,,,,
5025,2016,4964,0.697219967842,,,,,,,,,,,,,,
5025,2020,4627,0.775880694389,,,,,,,,,,,,,,
5027,2012,12983,0.735269188881,,,,,,,,,,,,,,
5027,2016,14487,0.055912196636,,,,,,,,,,,,,,
5027,2020,13163,0.642710626125,,,,,,,,,,,,,,
5029,2012,11063,0.717617273331,,,,,,,,,,,,,,
5029,2016,11346,0.707385838032,,,,,,,,,,,,,,
5029,2020,11739,0.744186043739,,,,,,,,,,,,,,
5031,2012,55087,0.582478642464,,,,,,,,,,,,,,
5031,2016,59905,0.600100159645,,,,,,,,,,,,,,
5031,2020,58028,0.667798280716,,,,,,,,,,,,,,
5033,2012,30854,0.671873986721,,,,,,,,,,,,,,
5033,2016,33430,0.676398456097,,,,,,,,,,,,,,
5033,2020,35524,0.673347592354,,,,,,,,,,,,,,
5035,2012,26411,0.639014065266,,,,,,,,,,,,,,
5035,2016,30461,0.526870429516,,,,,,,,,,,,,,
5035,2020,31886,0.523239016533,,,,,,,,,,,,,,
5037,2012,9941,0.718639969826,,,,,,,,,,,,,,
5037,2016,10471,0.667558014393,,,,,,,,,,,,,,
5037,2020,10310,0.677594542503,,,,,,,,,,,,,,
5039,2012,4518,0.687472343445,,,,,,,,,,,,,,
5039,2016,4337,0.643993556499,,,,,,,,,,,,,,
