state,county_name,countyfp,total_reg_count,active_reg_count,inactive_reg_count,active_percentage,inactive_percentage,active_reg_percentage,inactive_reg_percentage
ND,CASS,17,114003,106891,7112,0.9376,0.0624,0.9376156767804356,0.062384323
ND,CAVALIER,19,2479,2338,141,0.9431,0.0569,0.9431222267043162,0.056877773
ND,DICKEY,21,3186,3031,155,0.9513,0.0487,0.9513496547394853,0.048650345
ND,DIVIDE,23,1569,1540,29,0.9815,0.0185,0.9815168897386871,0.018483110261312937
ND,DUNN,25,2955,2880,75,0.9746,0.0254,0.9746192893401016,0.025380710659898477
ND,EDDY,27,1583,1495,88,0.9444,0.0556,0.9444093493367025,0.055590651
ND,EMMONS,29,2388,2321,67,0.9719,0.0281,0.9719430485762144,0.028056951423785594
ND,FOSTER,31,2168,2043,125,0.9423,0.0577,0.9423431734317343,0.057656826568265686
ND,GOLDEN VALLEY,33,1208,1191,17,0.9859,0.0141,0.9859271523178808,0.014072847682119206
ND,GRAND FORKS,35,41269,39153,2116,0.9487,0.0513,0.9487266471201143,0.051273353
ND,GRANT,37,1647,1593,54,0.9672,0.0328,0.9672131147540983,0.032786885
ND,GRIGGS,39,1591,1532,59,0.9629,0.0371,0.9629164047768699,0.037083595
ND,HETTINGER,41,1702,1639,63,0.963,0.037,0.9629847238542891,0.037015276
ND,KIDDER,43,1695,1642,53,0.9687,0.0313,0.9687315634218289,0.031268437
ND,LAMOURE,45,2739,2638,101,0.9631,0.0369,0.9631252281854692,0.036874772
ND,LOGAN,47,1314,1279,35,0.9734,0.0266,0.9733637747336378,0.026636225
ND,MCHENRY,49,3560,3452,108,0.9697,0.0303,0.9696629213483146,0.030337078651685393
ND,MCINTOSH,51,1788,1726,62,0.9653,0.0347,0.9653243847874721,0.034675615
ND,MCKENZIE,53,7330,7086,244,0.9667,0.0333,0.966712142,0.033287858117326055
ND,MCLEAN,55,6872,6677,195,0.9716,0.0284,0.9716239813736903,0.028376018626309663
ND,MERCER,57,5658,5432,226,0.9601,0.0399,0.960056557,0.039943442912689996
ND,MORTON,59,21432,20284,1148,0.9464,0.0536,0.9464352370287421,0.053564763
ND,MOUNTRAIL,61,5611,5487,124,0.9779,0.0221,0.9779005524861878,0.022099447513812154
ND,NELSON,63,2170,2098,72,0.9668,0.0332,0.9668202764976959,0.033179724
ND,OLIVER,65,1332,1306,26,0.9805,0.0195,0.9804804804804805,0.01951952
ND,PEMBINA,67,4069,3954,115,0.9717,0.0283,0.9717375276480708,0.028262472351929222
